ticker,name,sector,industry,market_cap,pe_ratio,ps_ratio,ev_to_ebitda,roe,profit_margin,debt_to_equity,dividend_yield,rev_growth_qoq,analyst_rec,target_price,current_ratio,quick_ratio,proxy_peg,free_cash_flow,ebit
IQV,"IQVIA Holdings, Inc.",Healthcare,Diagnostics & Research,29938741248,22.4235,1.8356,15.174,0.2144,0.0834,245.928,0,0.103,buy,235.5238,0.749,0.668,2.18,2051000000,2320000000
IRM,Iron Mountain Incorporated (Del,Real Estate,REIT - Specialty,31388114944,216.5306,4.5479,21.921,,0.021,,3.22,0.166,buy,122.8182,0.739,0.612,13.04,-1007116000,1057650000
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics,20232945664,34.7774,1.6862,14.633,0.1579,0.0499,48.26,0.8,-0.016,buy,211.1739,0.829,0.712,,947585000,869318000
JBL,Jabil Inc.,Technology,Electronic Components,26080825344,38.268,0.8383,12.455,0.4782,0.0226,255.828,0.13,0.187,none,264.5,0.989,0.493,2.05,1172000000,1039000000
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,12300133376,24.3824,4.9909,17.367,0.2428,0.2059,3.109,1.41,0.079,buy,203.2143,1.6,0.951,3.09,410338000,596474000
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,16111969280,36.0952,1.3004,14.456,0.0973,0.035,65.173,1.06,0.123,none,157.5333,1.33,1.289,2.93,607472000,689265000
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,5.75E+11,21.6497,6.104,17.931,0.3503,0.2846,60.499,2.17,0.091,buy,235.2517,1.028,0.689,2.38,19313000000,33552000000
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,81276264448,44.5604,3.3912,22.529,0.1264,0.1417,73.339,1.17,0.068,buy,142.7368,0.994,0.642,6.55,965000000,2196000000
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,7.76E+11,14.3654,4.6105,,0.1613,0.3391,,2.04,0.025,buy,344.7826,,,5.75,,
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,35124117504,24.1118,2.3224,13.134,0.1439,0.0972,80.576,4.55,0.032,hold,19.8333,0.958,0.579,7.53,1722000000,2429000000
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,38137757696,18.3464,2.297,12.614,0.0836,0.1252,75.384,3.28,0.105,buy,35.5714,0.635,0.325,1.75,1488000000,3441000000
KEY,KeyCorp,Financial Services,Banks - Regional,21575018496,13.0263,3.0791,,0.0948,0.261,,4.03,1.315,buy,24.5476,,,0.1,2101000000,
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,47214936064,48.2996,8.3169,38.56,0.1722,0.1695,44.674,0,0.233,buy,298.6154,2.604,1.713,2.07,1281000000,1178000000
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,34609545216,21.4547,2.1043,13.052,1.266,0.1229,464.785,4.88,-0.006,hold,119.2143,0.745,0.374,,1639000000,2308000000
